|======================================================================================================================|
|  Epoch  |  Iteration  |  Time Elapsed  |  Mini-batch  |  Validation  |  Mini-batch  |  Validation  |  Base Learning  |
|         |             |   (hh:mm:ss)   |     RMSE     |     RMSE     |     Loss     |     Loss     |      Rate       |
|======================================================================================================================|
|      25 |       10750 |       19:01:11 |         0.45 |         0.51 |       0.1016 |       0.1304 |      1.0000e-04 |
|      25 |       10800 |       19:06:26 |         0.51 |         0.52 |       0.1313 |       0.1373 |      1.0000e-04 |
|      25 |       10850 |       19:11:43 |         0.53 |         0.52 |       0.1410 |       0.1339 |      1.0000e-04 |
|      26 |       10900 |       19:17:00 |         0.45 |         0.51 |       0.1002 |       0.1302 |      1.0000e-04 |
|      26 |       10950 |       19:22:21 |         0.56 |         0.51 |       0.1569 |       0.1299 |      1.0000e-04 |
|      26 |       11000 |       19:27:39 |         0.49 |         0.51 |       0.1207 |       0.1302 |      1.0000e-04 |
|      26 |       11050 |       19:32:57 |         0.52 |         0.50 |       0.1375 |       0.1274 |      1.0000e-04 |
|      26 |       11100 |       19:38:14 |         0.55 |         0.52 |       0.1498 |       0.1340 |      1.0000e-04 |
|      26 |       11150 |       19:43:32 |         0.53 |         0.51 |       0.1382 |       0.1300 |      1.0000e-04 |
|      26 |       11200 |       19:48:50 |         0.49 |         0.50 |       0.1207 |       0.1269 |      1.0000e-04 |
|      26 |       11250 |       19:54:09 |         0.47 |         0.52 |       0.1107 |       0.1339 |      1.0000e-04 |
|      26 |       11300 |       19:59:26 |         0.47 |         0.51 |       0.1108 |       0.1315 |      1.0000e-04 |
|      27 |       11350 |       20:04:46 |         0.44 |         0.51 |       0.0947 |       0.1293 |      1.0000e-04 |
|      27 |       11400 |       20:10:04 |         0.45 |         0.52 |       0.1023 |       0.1331 |      1.0000e-04 |
|      27 |       11450 |       20:15:22 |         0.49 |         0.51 |       0.1195 |       0.1309 |      1.0000e-04 |
|      27 |       11500 |       20:20:41 |         0.51 |         0.50 |       0.1277 |       0.1242 |      1.0000e-04 |
|      27 |       11550 |       20:25:57 |         0.49 |         0.51 |       0.1200 |       0.1279 |      1.0000e-04 |
